epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3323.25,1.64965,1.43801,1.43507,0.70328,0.70487,0.7352,0.38649,1.60348,1.23795,1.41234,0.000333237,0.000333237,0.0670096
2,5935.55,1.56144,1.21116,1.38053,0.80216,0.71525,0.78913,0.42014,1.57008,1.11996,1.39331,0.00060058,0.00060058,0.0339436
3,8821.96,1.51516,1.11591,1.34678,0.8197,0.75934,0.81454,0.44984,1.52356,1.02274,1.36497,0.000801922,0.000801922,0.000811595
4,11752,1.47475,1.03287,1.32604,0.81348,0.77913,0.8256,0.4632,1.49272,1.04033,1.33406,0.000703,0.000703,0.000703
5,14552.7,1.44104,0.97477,1.30234,0.82711,0.77725,0.83295,0.46924,1.49859,0.95476,1.3368,0.000604,0.000604,0.000604
6,17335.9,1.41213,0.91892,1.27547,0.85026,0.79749,0.86017,0.4939,1.47914,0.8852,1.3114,0.000505,0.000505,0.000505
7,20079.9,1.38668,0.86454,1.26358,0.84287,0.79347,0.85582,0.49422,1.44111,0.86767,1.29002,0.000406,0.000406,0.000406
8,22724.7,1.35574,0.82293,1.24057,0.80892,0.79067,0.84939,0.49829,1.4236,0.82468,1.28182,0.000307,0.000307,0.000307
9,24876.6,1.33369,0.7858,1.22403,0.83848,0.79397,0.86715,0.51632,1.41265,0.78608,1.26314,0.000208,0.000208,0.000208
10,27302,1.30877,0.75181,1.21064,0.82166,0.80171,0.86462,0.51746,1.38984,0.76473,1.25125,0.000109,0.000109,0.000109
